+----------------------------------------------------------+---------------------------------------------------------------------------------+------------+------------+---------+------+------+--------+--------+------------+
|                         Instance                         |                                      Module                                     | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs | RAMB36 | RAMB18 | DSP Blocks |
|           gconvfifo.rf                                   |                                           network_fifo_10_0__fifo_generator_top |         44 |         44 |       0 |    0 |   52 |      0 |      1 |          0 |
|             grf.rf                                       |                                       network_fifo_10_0__fifo_generator_ramfifo |         44 |         44 |       0 |    0 |   52 |      0 |      1 |          0 |
|               gntv_or_sync_fifo.gl0.rd                   |                                                     network_fifo_10_0__rd_logic |         32 |         32 |       0 |    0 |   24 |      0 |      0 |          0 |
|                 gr1.gr1_int.rfwft                        |                                                      network_fifo_10_0__rd_fwft |          9 |          9 |       0 |    0 |    8 |      0 |      0 |          0 |
|                 grss.rsts                                |                                           network_fifo_10_0__rd_status_flags_ss |          0 |          0 |       0 |    0 |    2 |      0 |      0 |          0 |
|                 rpntr                                    |                                                  network_fifo_10_0__rd_bin_cntr |         23 |         23 |       0 |    0 |   14 |      0 |      0 |          0 |
|               gntv_or_sync_fifo.gl0.wr                   |                                                     network_fifo_10_0__wr_logic |         11 |         11 |       0 |    0 |   26 |      0 |      0 |          0 |
|                 gwss.gpf.wrpf                            |                                                     network_fifo_10_0__wr_pf_ss |          3 |          3 |       0 |    0 |   10 |      0 |      0 |          0 |
|                 gwss.wsts                                |                                           network_fifo_10_0__wr_status_flags_ss |          3 |          3 |       0 |    0 |    2 |      0 |      0 |          0 |
|                 wpntr                                    |                                                  network_fifo_10_0__wr_bin_cntr |          5 |          5 |       0 |    0 |   14 |      0 |      0 |          0 |
|               gntv_or_sync_fifo.mem                      |                                                       network_fifo_10_0__memory |          1 |          1 |       0 |    0 |    2 |      0 |      1 |          0 |
|                 (gntv_or_sync_fifo.mem)                  |                                                       network_fifo_10_0__memory |          0 |          0 |       0 |    0 |    2 |      0 |      0 |          0 |
|                 gbm.gbmg.gbmga.ngecc.bmg                 |                                           network_fifo_10_0__blk_mem_gen_v8_4_4 |          1 |          1 |       0 |    0 |    0 |      0 |      1 |          0 |
|                   inst_blk_mem_gen                       |                                     network_fifo_10_0__blk_mem_gen_v8_4_4_synth |          1 |          1 |       0 |    0 |    0 |      0 |      1 |          0 |
|                     gnbram.gnativebmg.native_blk_mem_gen |                                              network_fifo_10_0__blk_mem_gen_top |          1 |          1 |       0 |    0 |    0 |      0 |      1 |          0 |
|                       valid.cstr                         |                                     network_fifo_10_0__blk_mem_gen_generic_cstr |          1 |          1 |       0 |    0 |    0 |      0 |      1 |          0 |
|                         ramloop[0].ram.r                 |                                       network_fifo_10_0__blk_mem_gen_prim_width |          1 |          1 |       0 |    0 |    0 |      0 |      1 |          0 |
|                           prim_noinit.ram                |                                     network_fifo_10_0__blk_mem_gen_prim_wrapper |          1 |          1 |       0 |    0 |    0 |      0 |      1 |          0 |
|     fifo_10_concat                                       |                                                        network_fifo_10_concat_0 |          0 |          0 |       0 |    0 |    0 |      0 |      0 |          0 |
|     fifo_11                                              |                                                               network_fifo_11_0 |         23 |         23 |       0 |    0 |   44 |      0 |      1 |          0 |
|       U0                                                 |                                        network_fifo_11_0_fifo_generator_v13_2_5 |         23 |         23 |       0 |    0 |   44 |      0 |      1 |          0 |
|         inst_fifo_gen                                    |                                  network_fifo_11_0_fifo_generator_v13_2_5_synth |         23 |         23 |       0 |    0 |   44 |      0 |      1 |          0 |
|           gconvfifo.rf                                   |                                            network_fifo_11_0_fifo_generator_top |         23 |         23 |       0 |    0 |   44 |      0 |      1 |          0 |
|             grf.rf                                       |                                        network_fifo_11_0_fifo_generator_ramfifo |         23 |         23 |       0 |    0 |   44 |      0 |      1 |          0 |
|               gntv_or_sync_fifo.gl0.rd                   |                                                      network_fifo_11_0_rd_logic |         18 |         18 |       0 |    0 |   18 |      0 |      0 |          0 |
|                 gr1.gr1_int.rfwft                        |                                                       network_fifo_11_0_rd_fwft |          8 |          8 |       0 |    0 |    8 |      0 |      0 |          0 |
|                 grss.rsts                                |                                            network_fifo_11_0_rd_status_flags_ss |          0 |          0 |       0 |    0 |    2 |      0 |      0 |          0 |
|                 rpntr                                    |                                                   network_fifo_11_0_rd_bin_cntr |         10 |         10 |       0 |    0 |    8 |      0 |      0 |          0 |
|               gntv_or_sync_fifo.gl0.wr                   |                                                      network_fifo_11_0_wr_logic |          5 |          5 |       0 |    0 |   10 |      0 |      0 |          0 |
|                 gwss.wsts                                |                                            network_fifo_11_0_wr_status_flags_ss |          3 |          3 |       0 |    0 |    2 |      0 |      0 |          0 |
|                 wpntr                                    |                                                   network_fifo_11_0_wr_bin_cntr |          2 |          2 |       0 |    0 |    8 |      0 |      0 |          0 |
|               gntv_or_sync_fifo.mem                      |                                                        network_fifo_11_0_memory |          0 |          0 |       0 |    0 |   16 |      0 |      1 |          0 |
|                 (gntv_or_sync_fifo.mem)                  |                                                        network_fifo_11_0_memory |          0 |          0 |       0 |    0 |   16 |      0 |      0 |          0 |
|                 gbm.gbmg.gbmga.ngecc.bmg                 |                                            network_fifo_11_0_blk_mem_gen_v8_4_4 |          0 |          0 |       0 |    0 |    0 |      0 |      1 |          0 |
|                   inst_blk_mem_gen                       |                                      network_fifo_11_0_blk_mem_gen_v8_4_4_synth |          0 |          0 |       0 |    0 |    0 |      0 |      1 |          0 |
|                     gnbram.gnativebmg.native_blk_mem_gen |                                               network_fifo_11_0_blk_mem_gen_top |          0 |          0 |       0 |    0 |    0 |      0 |      1 |          0 |
|                       valid.cstr                         |                                      network_fifo_11_0_blk_mem_gen_generic_cstr |          0 |          0 |       0 |    0 |    0 |      0 |      1 |          0 |
|                         ramloop[0].ram.r                 |                                        network_fifo_11_0_blk_mem_gen_prim_width |          0 |          0 |       0 |    0 |    0 |      0 |      1 |          0 |
|                           prim_noinit.ram                |                                      network_fifo_11_0_blk_mem_gen_prim_wrapper |          0 |          0 |       0 |    0 |    0 |      0 |      1 |          0 |
|     fifo_11_concat                                       |                                                        network_fifo_11_concat_0 |          0 |          0 |       0 |    0 |    0 |      0 |      0 |          0 |
|     fifo_1_concat                                        |                                                         network_fifo_1_concat_0 |          0 |          0 |       0 |    0 |    0 |      0 |      0 |          0 |
